ID,Year,DCD,Sex,Age,Labour_force,Labour_force_participation_rate
317,2021,Sai Kung,Female,B,31.6,84.8
318,2021,Sai Kung,Female,C,26.1,63.6
319,2021,Sai Kung,Female,D,13.5,57.7
320,2021,Sai Kung,Female,E,2.8,10.7
321,2021,Islands,Male,A,2.8,52.4
322,2021,Islands,Male,B,6.2,96.8
323,2021,Islands,Male,C,8.8,96.5
324,2021,Islands,Male,D,6.4,86.4
325,2021,Islands,Male,E,2.6,34.4
326,2021,Islands,Female,A,2.7,44.1
327,2021,Islands,Female,B,7.3,73.9
328,2021,Islands,Female,C,6.7,62.7
329,2021,Islands,Female,D,3.7,59.5
330,2021,Islands,Female,E,0.8,11.1
331,2022,Central and Western,Male,A,1.9,25.6
332,2022,Central and Western,Male,B,10.1,90.3
333,2022,Central and Western,Male,C,12.3,91.7
334,2022,Central and Western,Male,D,12.1,87.6
335,2022,Central and Western,Male,E,16,45.2
336,2022,Central and Western,Female,A,2.3,27.8
337,2022,Central and Western,Female,B,17.8,84.7
338,2022,Central and Western,Female,C,21.9,83.5
339,2022,Central and Western,Female,D,14.6,74.5
340,2022,Central and Western,Female,E,12.9,30.8
341,2022,Wan Chai,Male,A,0.9,20.6
342,2022,Wan Chai,Male,B,6.2,90.2
343,2022,Wan Chai,Male,C,8.9,97.6
344,2022,Wan Chai,Male,D,9,91.3
345,2022,Wan Chai,Male,E,10.8,42.9
346,2022,Wan Chai,Female,A,1.6,34.5
347,2022,Wan Chai,Female,B,12.5,89.1
348,2022,Wan Chai,Female,C,17.8,89.6
349,2022,Wan Chai,Female,D,11.2,75.4
350,2022,Wan Chai,Female,E,8.2,25.8
351,2022,Eastern,Male,A,5.1,29.7
352,2022,Eastern,Male,B,23.8,95.6
353,2022,Eastern,Male,C,27.6,94.9
354,2022,Eastern,Male,D,29.9,90.9
355,2022,Eastern,Male,E,39.2,40.6
356,2022,Eastern,Female,A,5.2,31.2
357,2022,Eastern,Female,B,29.4,88.2
358,2022,Eastern,Female,C,39.5,81.4
359,2022,Eastern,Female,D,36.6,76.8
360,2022,Eastern,Female,E,30.1,25.5
361,2022,Southern,Male,A,2.5,28.2
362,2022,Southern,Male,B,10.9,92.9
363,2022,Southern,Male,C,12.8,93.0
364,2022,Southern,Male,D,15.5,92.4
365,2022,Southern,Male,E,20.1,44.8
366,2022,Southern,Female,A,2.9,33.0
367,2022,Southern,Female,B,15.3,90.6
368,2022,Southern,Female,C,21.1,84.0
369,2022,Southern,Female,D,18.3,75.5
370,2022,Southern,Female,E,13.6,25.7
371,2022,Yau Tsim Mong,Male,A,2.9,30.1
372,2022,Yau Tsim Mong,Male,B,15.7,93.2
373,2022,Yau Tsim Mong,Male,C,18.7,93.8
374,2022,Yau Tsim Mong,Male,D,19,91.3
375,2022,Yau Tsim Mong,Male,E,21.1,45.5
376,2022,Yau Tsim Mong,Female,A,3.4,32.2
